"Country or Area","Year","Value","Value Footnotes"
"Brazil","1987","8.2","42"
"Brazil","1986","4.6","42"
"Brazil","1985","10.3","42"
"Brazil","1984","12.1","42"
"Brazil","1983","12.7","42"
"Brazil","1982","9.9","42"
"Brazil","1981","9.7","42"
"Bulgaria","2020","0.1","18"
"Bulgaria","2019","0.3","18"
"Bulgaria","2018","0.3","18"
"Bulgaria","2017","0.5","18"
"Bulgaria","2016","0.8","18"
"Bulgaria","2015","1.5","18"
"Bulgaria","2014","0.5","18"
"Bulgaria","2013","0.8","18"
"Bulgaria","2012","0.8","18"
"Bulgaria","2011","1","18"
"Bulgaria","2010","0.7","18"
"Bulgaria","2009","0.3","18"
"Bulgaria","2008","0.4","18"
"Bulgaria","2007","0.7","18"
"Bulgaria","2006","2.7","18"
"Burkina Faso","2018","8.4","30"
"Burkina Faso","2014","9.5","43"
"Burkina Faso","2009","18.2","44"
"Burkina Faso","2003","22.1","44"
"Burkina Faso","1998","41.1","45"
"Burkina Faso","1994","46.7","46"
"Burundi","2013","25.2","47"
"Burundi","2006","27.3","32"
"Burundi","1998","39.9","48"
"Burundi","1992","31.3","6"
"C̫te d'Ivoire","2018","2.4","30"
"C̫te d'Ivoire","2015","11.2","49"
"C̫te d'Ivoire","2008","12.4","49"
"C̫te d'Ivoire","2002","8.9","49"
"C̫te d'Ivoire","1998","9.6","49"
"C̫te d'Ivoire","1995","6.5","49"
"C̫te d'Ivoire","1992","8.5","48"
"C̫te d'Ivoire","1988","3.5","50"
"C̫te d'Ivoire","1987","2.2","50"
"C̫te d'Ivoire","1986","0.9","50"
"C̫te d'Ivoire","1985","2.6","50"
"Cabo Verde","2015","1","51"
"Cabo Verde","2007","2.5","32"
"Cabo Verde","2001","5.7","51"
"Cameroon","2014","8.3","52"
"Cameroon","2007","9.3","53"
"Cameroon","2001","6.9","54"
"Cameroon","1996","16.8","55"
"Canada","2019","0.1","56"
"Canada","2018","0.1","56"
"Canada","2017","0.1","56"
"Canada","2016","0.1","56"
"Canada","2015","0.1","56"
"Canada","2014","0.1","56"
"Canada","2013","0.1","56"
"Canada","2012","0.1","56"
"Canada","2011","0.1","57"
"Canada","2010","0.1","57"
"Canada","2009","0.1","57"
"Canada","2008","0.1","57"
"Canada","2007","0.1","57"
"Canada","2006","0.1","57"
"Canada","2005","0.2","57"
"Canada","2004","0.1","57"
"Canada","2003","0.1","57"
"Canada","2002","0.1","57"
"Canada","2001","0.1","57"
"Canada","2000","0.1","57"
"Canada","1999","0.2","57"
"Canada","1998","0.2","57"
"Canada","1997","0.2","57"
"Canada","1996","0.2","57"
"Canada","1995","0.7","58"
"Canada","1994","0.8","58"
"Canada","1993","1.1","58"
"Canada","1992","0.7","58"
"Canada","1991","1.2","58"
"Canada","1990","1","58"
"Canada","1989","1.2","58"
"Canada","1988","0.5","58"
"Canada","1987","0.5","58"
"Canada","1986","0.9","58"
"Canada","1985","0.4","58"
"Canada","1984","0.5","58"
"Canada","1982","0.5","58"
"Canada","1981","0.6","58"
"Canada","1979","0.9","58"
"Canada","1977","1","58"
"Canada","1975","1.2","58"
"Canada","1973","1.3","58"
"Canada","1971","1.6","58"
"Central African Republic","2021","29.7","30"
"Central African Republic","2008","29.7","59"
"Central African Republic","1992","56.2","60"
"Chad","2018","8.4","30"
"Chad","2011","14.3","61"
"Chad","2003","23.2","62"
"Chile","2020","0.4","63"
"Chile","2017","0.2","63"
"Chile","2015","0.2","63"
"Chile","2013","0.2","63"
"Chile","2011","0.3","63"
"Chile","2009","0.6","63"
"Chile","2006","0.7","63"
"Chile","2003","2.1","63"
"Chile","2000","2.2","63"
"Chile","1998","1.7","63"
"Chile","1996","1.6","63"
"Chile","1994","2.4","63"
"Chile","1992","2","63"
"Chile","1990","3.6","63"
"Chile","1987","5.2","63"
"China","2020","0","64"
"China","2019","0","64"
"China","2018","0.1","64"
"China","2017","0.1","64"
"China","2016","0.2","64"
"China","2015","0.2","64"
"China","2014","0.4","64"
"China","2013","0.5","64"
"China","2012","2","64"
"China","2011","2.5","65"
"China","2010","3.6","65"
"China","2008","5.1","65"
"China","2005","6.2","65"
"China","2002","12.4","65"
"China","1999","15.9","65"
"China","1996","15.9","65"
"China","1993","24.1","65"
"China","1990","28.3","65"
"Colombia","2021","2.8","66"
"Colombia","2020","4.5","66"
"Colombia","2019","2.1","66"
"Colombia","2018","1.8","66"
"Colombia","2017","1.7","66"
"Colombia","2016","1.9","66"
"Colombia","2015","1.9","66"
"Colombia","2014","2.1","66"
"Colombia","2013","2.3","66"
"Colombia","2012","2.5","66"
"Colombia","2011","2.5","66"
"Colombia","2010","3","66"
"Colombia","2009","3.6","66"
"Colombia","2008","4.4","66"
"Colombia","2005","3.7","35"
"Colombia","2004","4","35"
"Colombia","2003","4.9","35"
"Colombia","2002","5.1","35"
"Colombia","2001","10.8","35"
"Colombia","2000","11.3","67"
"Colombia","1999","11.5","67"
"Colombia","1996","9.5","67"
"Colombia","1992","4.9","67"
"Comoros","2014","6.7","68"
"Comoros","2004","4.2","69"
"Congo","2011","13.8","70"
"Congo","2005","19.6","70"
"Costa Rica","2022","0.3","71"
"Costa Rica","2021","0.4","71"
"Costa Rica","2020","0.9","71"
"Costa Rica","2019","0.4","71"
"Costa Rica","2018","0.6","71"
"Costa Rica","2017","0.4","71"
"Costa Rica","2016","0.5","71"
"Costa Rica","2015","0.6","71"
"Costa Rica","2014","0.6","71"
"Costa Rica","2013","0.6","71"
"Costa Rica","2012","0.6","71"
"Costa Rica","2011","0.7","71"
"Costa Rica","2010","0.7","71"
"Costa Rica","2009","1.1","72"
"Costa Rica","2008","1","72"
"Costa Rica","2007","0.7","72"
"Costa Rica","2006","1.3","72"
"Costa Rica","2005","1.2","72"
"Costa Rica","2004","1.8","72"
"Costa Rica","2003","2.1","72"
"Costa Rica","2002","2.2","72"
"Costa Rica","2001","2.3","72"
"Costa Rica","2000","3.3","72"
"Costa Rica","1999","3.1","72"
"Costa Rica","1998","2.5","72"
"Costa Rica","1997","3.2","72"
"Costa Rica","1996","4.4","72"
"Costa Rica","1995","3.9","72"
"Costa Rica","1994","3.7","72"
"Costa Rica","1993","4.7","72"
"Costa Rica","1992","5","72"
"Costa Rica","1991","6","72"
"Costa Rica","1990","5.5","72"
"Costa Rica","1989","5.9","72"
"Costa Rica","1986","6","73"
"Costa Rica","1981","11.3","73"
"Croatia","2020","0.2","18"
"Croatia","2019","0.2","18"
"Croatia","2018","0.2","18"
"Croatia","2017","0.3","18"
"Croatia","2016","0.3","18"
"Croatia","2015","0.4","18"
"Croatia","2014","0.5","18"
"Croatia","2013","0.4","18"
"Croatia","2012","0.5","18"
"Croatia","2011","0.4","18"
"Croatia","2010","0.9","18"
"Croatia","2009","0.6","18"
"Cyprus","2020","0","18"
"Cyprus","2019","0.2","18"
"Cyprus","2018","0","18"
"Cyprus","2017","0","18"
"Cyprus","2016","0","18"
"Cyprus","2015","0","18"
"Cyprus","2014","0.1","18"
"Cyprus","2013","0","18"
"Cyprus","2012","0","18"
"Cyprus","2011","0","18"
"Cyprus","2010","0","18"
"Cyprus","2009","0.1","18"
"Cyprus","2008","0","18"
"Cyprus","2007","0","18"
"Cyprus","2006","0","18"
"Cyprus","2005","0","18"
"Cyprus","2004","0.1","18"
"Czechia","2020","0","18"
"Czechia","2019","0","18"
"Czechia","2018","0","18"
"Czechia","2017","0","18"
"Czechia","2016","0","18"
"Czechia","2015","0","18"
"Czechia","2014","0","18"
"Czechia","2013","0","18"
"Czechia","2012","0","18"
"Czechia","2011","0","18"
"Czechia","2010","0","18"
"Czechia","2009","0","18"
"Czechia","2008","0","18"
"Czechia","2007","0","18"
"Czechia","2006","0","18"
"Czechia","2005","0","18"
"Czechia","2004","0","18"
"Czechia","2002","0","20"
"Czechia","1996","0","20"
"Czechia","1993","0","74"
"Czechia","1992","0","20"
"Dem. Rep. Congo","2012","32.7","75"
"Dem. Rep. Congo","2004","58.6","75"
"Denmark","2020","0.1","18"
"Denmark","2019","0.2","18"
"Denmark","2018","0.1","18"
"Denmark","2017","0.1","18"
"Denmark","2016","0.2","18"
"Denmark","2015","0.1","18"
"Denmark","2014","0.1","18"
"Denmark","2013","0.3","18"
"Denmark","2012","0","18"
"Denmark","2011","0","18"
"Denmark","2010","0","18"
"Denmark","2009","0.1","18"
"Denmark","2008","0.1","18"
"Denmark","2007","0","18"
"Denmark","2006","0","18"
"Denmark","2005","0.1","18"
"Denmark","2004","0.2","18"
"Denmark","2003","0.2","18"
"Denmark","2000","0","76"
"Denmark","1995","0","76"
"Denmark","1992","0.5","76"
"Denmark","1987","0.5","76"
"Djibouti","2017","6.4","77"
"Djibouti","2013","8.4","77"
"Djibouti","2012","8.4","77"
"Djibouti","2002","6.9","77"
"Dominican Republic","2021","0.2","78"
"Dominican Republic","2020","0.4","78"
"Dominican Republic","2019","0.2","78"
"Dominican Republic","2018","0.2","78"
"Dominican Republic","2017","0.3","78"
"Dominican Republic","2016","0.6","79"
"Dominican Republic","2015","0.6","79"
"Dominican Republic","2014","0.8","79"
"Dominican Republic","2013","0.8","79"
"Dominican Republic","2012","1","79"
"Dominican Republic","2011","1","79"
"Dominican Republic","2010","0.9","79"
"Dominican Republic","2009","1.2","79"
"Dominican Republic","2008","1.5","79"
"Dominican Republic","2007","1.7","79"
"Dominican Republic","2006","1.7","79"
"Dominican Republic","2005","2.3","79"
"Dominican Republic","2004","3.6","79"
"Dominican Republic","2003","2.9","79"
"Dominican Republic","2002","2.6","79"
"Dominican Republic","2001","1.6","79"
"Dominican Republic","2000","2.4","79"
"Dominican Republic","1997","2.6","79"
"Dominican Republic","1996","2.4","79"
"Dominican Republic","1992","2.1","80"
"Dominican Republic","1989","4.9","81"
"Dominican Republic","1986","2.3","81"
"East Asia & Pacific","2020","0.2","82"
"East Asia & Pacific","2019","0.2","82"
"East Asia & Pacific","2018","0.3","82"
"East Asia & Pacific","2017","0.4","82"
"East Asia & Pacific","2016","0.4","82"
"East Asia & Pacific","2015","0.5","82"
"East Asia & Pacific","2014","0.7","82"
"East Asia & Pacific","2013","0.9","82"
"East Asia & Pacific","2012","1.9","82"
"East Asia & Pacific","2011","2.4","82"
"East Asia & Pacific","2010","3.3","82"
"East Asia & Pacific","2009","4","82"
"East Asia & Pacific","2008","4.7","82"
"East Asia & Pacific","2007","5.1","82"
"East Asia & Pacific","2006","5.8","82"
"East Asia & Pacific","2005","5.9","82"
"East Asia & Pacific","2004","7.7","82"
"East Asia & Pacific","2003","9.2","82"
"East Asia & Pacific","2002","10.7","82"
"East Asia & Pacific","2001","12.1","82"
"East Asia & Pacific","2000","13","82"
"East Asia & Pacific","1999","14.4","82"
"East Asia & Pacific","1998","16","82"
"East Asia & Pacific","1997","15.2","82"
"East Asia & Pacific","1996","15.1","82"
"East Asia & Pacific","1995","17.1","82"
"East Asia & Pacific","1994","19.3","82"
"East Asia & Pacific","1993","22.1","82"
"East Asia & Pacific","1992","23.4","82"
"East Asia & Pacific","1991","24.7","82"
"East Asia & Pacific","1990","25.6","82"
"East Asia & Pacific","1989","27.2","82"
"East Asia & Pacific","1988","21.7","82"
"East Asia & Pacific","1987","24.7","82"
"East Asia & Pacific","1986","26.7","82"
"East Asia & Pacific","1985","28.2","82"
"East Asia & Pacific","1984","30.8","82"
"East Asia & Pacific","1983","35.4","82"
"East Asia & Pacific","1982","38.9","82"
"East Asia & Pacific","1981","41.6","82"
"Ecuador","2022","1","83"
"Ecuador","2021","1","83"
"Ecuador","2020","2.1","83"
"Ecuador","2019","1.1","83"
"Ecuador","2018","1","83"
"Ecuador","2017","1.1","83"
"Ecuador","2016","1.2","83"
"Ecuador","2015","1.2","83"
"Ecuador","2014","0.8","83"
"Ecuador","2013","1","83"
"Ecuador","2012","1.5","83"
"Ecuador","2011","1.8","83"
"Ecuador","2010","1.9","83"
"Ecuador","2009","2.6","83"
"Ecuador","2008","2.9","83"
"Ecuador","2007","3.2","83"
"Ecuador","2006","2.8","83"
"Ecuador","2005","4.5","83"
"Ecuador","2004","6.2","83"
"Ecuador","2003","5.8","83"
"Ecuador","2000","11.7","84"
"Ecuador","1999","9.8","85"
"Ecuador","1994","7.7","85"
"Egypt","2019","0.3","86"
"Egypt","2017","0.4","86"
"Egypt","2015","0.1","86"
"Egypt","2012","0.1","86"
"Egypt","2010","0.1","86"
"Egypt","2008","0.4","86"
"Egypt","2004","0.4","86"
"Egypt","1999","0.3","87"
"Egypt","1995","0.4","87"
"Egypt","1990","0.7","87"
"El Salvador","2022","1.3","72"
"El Salvador","2021","1.4","72"
"El Salvador","2019","0.3","72"
"El Salvador","2018","0.4","72"
"El Salvador","2017","0.5","72"
"El Salvador","2016","0.6","72"
"El Salvador","2015","0.5","72"
"El Salvador","2014","0.8","72"
"El Salvador","2013","0.9","72"
"El Salvador","2012","1.1","72"
"El Salvador","2011","1.3","72"
"El Salvador","2010","1.6","72"
"El Salvador","2009","2","72"
"El Salvador","2008","2","72"
"El Salvador","2007","1.3","72"
"El Salvador","2006","2.2","72"
"El Salvador","2005","4.3","72"
"El Salvador","2004","5.2","72"
"El Salvador","2003","8","72"
"El Salvador","2002","6.6","72"
"El Salvador","2001","6.3","72"
"El Salvador","2000","5.4","72"
"El Salvador","1999","9.3","72"
"El Salvador","1998","11.6","72"
"El Salvador","1996","6.3","72"
"El Salvador","1995","5.7","72"
"El Salvador","1991","10.8","72"
"El Salvador","1989","11.2","88"
"Estonia","2020","0.2","18"
"Estonia","2019","0.3","18"
"Estonia","2018","0.2","18"
"Estonia","2017","0.2","18"
"Estonia","2016","0.3","18"
"Estonia","2015","0.4","18"
"Estonia","2014","0.5","18"
"Estonia","2013","0.6","18"
"Estonia","2012","0.4","18"
"Estonia","2011","0.6","18"
"Estonia","2010","0.4","18"
"Estonia","2009","0.3","18"
"Estonia","2008","0.2","18"
"Estonia","2007","0.3","18"
"Estonia","2006","0.5","18"
"Estonia","2005","0.3","18"
"Estonia","2004","0.6","18"
"Estonia","2003","1.3","18"
"Eswatini","2016","12.8","22"
"Eswatini","2009","20.9","22"
"Eswatini","2000","22.5","22"
"Eswatini","1994","55.8","39"
"Ethiopia","2015","7.6","89"
"Ethiopia","2010","8.1","89"
"Ethiopia","2004","7.6","89"
"Ethiopia","1999","17.5","89"
"Ethiopia","1995","27.9","89"
"Europe & Central Asia","2020","0.6","82"
"Europe & Central Asia","2019","0.6","82"
"Europe & Central Asia","2018","0.6","82"
"Europe & Central Asia","2017","0.8","82"
"Europe & Central Asia","2016","0.8","82"
"Europe & Central Asia","2015","0.9","82"
"Europe & Central Asia","2014","1.1","82"
"Europe & Central Asia","2013","1","82"
"Europe & Central Asia","2012","1.2","82"
"Europe & Central Asia","2011","1.2","82"
"Europe & Central Asia","2010","1.3","82"
"Europe & Central Asia","2009","1.4","82"
"Europe & Central Asia","2008","1.5","82"
"Europe & Central Asia","2007","1.8","82"
"Europe & Central Asia","2006","2","82"
"Europe & Central Asia","2005","2.3","82"
"Europe & Central Asia","2004","2.3","82"
"Europe & Central Asia","2003","2.7","82"
"Europe & Central Asia","2002","2.6","82"
"Europe & Central Asia","2001","2.9","82"
"Europe & Central Asia","2000","3.2","82"
"Europe & Central Asia","1999","3.3","82"
"Europe & Central Asia","1998","2.7","82"
"Europe & Central Asia","1997","2.8","82"
"Europe & Central Asia","1996","3","82"
"Europe & Central Asia","1995","2.8","82"
"Europe & Central Asia","1994","2.8","82"
"Europe & Central Asia","1993","2","82"
"Europe & Central Asia","1992","1.7","82"
"Europe & Central Asia","1991","1.3","82"
"Europe & Central Asia","1990","1.2","82"
"Fiji","2019","0.2","22"
"Fiji","2013","0.1","22"
"Fiji","2008","0.1","22"
"Fiji","2002","0.3","22"
"Finland","2020","0","18"
"Finland","2019","0","18"
"Finland","2018","0","18"
"Finland","2017","0.1","18"
"Finland","2016","0","18"
"Finland","2015","0.1","18"
"Finland","2014","0","18"
"Finland","2013","0.1","18"
"Finland","2012","0","18"
"Finland","2011","0","18"
"Finland","2010","0","18"
"Finland","2009","0","18"
"Finland","2008","0","18"
"Finland","2007","0","18"
"Finland","2006","0.1","18"
"Finland","2005","0","18"
"Finland","2004","0","18"
"Finland","2003","0","18"
"Finland","2000","0","16"
"Finland","1995","0","16"
"Finland","1991","0","16"
"Finland","1987","0","16"
"Fragile and conflict affected situations","2018","11.5",""
"Fragile and conflict affected situations","2017","11.2",""
"Fragile and conflict affected situations","2016","10.9",""
"Fragile and conflict affected situations","2015","10.7",""
"Fragile and conflict affected situations","2014","10",""
"Fragile and conflict affected situations","2013","10.5",""
"Fragile and conflict affected situations","2012","11",""
"Fragile and conflict affected situations","2011","11.7",""
"Fragile and conflict affected situations","2010","12.3",""
"Fragile and conflict affected situations","2009","13.4",""
"Fragile and conflict affected situations","2008","13.8",""
"Fragile and conflict affected situations","2007","14.7",""
"Fragile and conflict affected situations","2006","15.6",""
"Fragile and conflict affected situations","2005","16.7",""
"Fragile and conflict affected situations","2004","17.7",""
"Fragile and conflict affected situations","2003","19.5",""
"Fragile and conflict affected situations","2002","20.6",""
"Fragile and conflict affected situations","2001","21.5",""
"Fragile and conflict affected situations","1999","23.5",""
"Fragile and conflict affected situations","1998","24.1",""
"Fragile and conflict affected situations","1997","24.7",""
"Fragile and conflict affected situations","1996","25.1",""
"Fragile and conflict affected situations","1995","25.9",""
"Fragile and conflict affected situations","1994","25.9",""
"Fragile and conflict affected situations","1993","25.3",""
"France","2020","0.1","18"
"France","2019","0","18"
"France","2018","0","18"
"France","2017","0","18"
"France","2016","0.1","18"
"France","2015","0.1","18"
"France","2014","0","18"
"France","2013","0","18"
"France","2012","0","18"
"France","2011","0","18"
"France","2010","0","18"
"France","2009","0","18"
"France","2008","0","18"
"France","2007","0","18"
"France","2006","0","18"
"France","2005","0","18"
"France","2004","0","18"
"France","2003","0.1","18"
"France","2002","0","91"
"France","2001","0","91"
"France","2000","0","91"
"France","1999","0","91"
"France","1998","0","91"
"France","1997","0","91"
"France","1996","0","91"
"France","1990","0","92"
"France","1984","0.2","92"
"France","1979","0.1","92"
"France","1975","0.1","92"
"France","1970","0","92"
"Gabon","2017","0.6","93"
"Gabon","2005","1.2","93"
"Georgia","2021","1.3","94"
"Georgia","2020","1.5","94"
"Georgia","2019","1.1","94"
"Georgia","2018","1.5","94"
"Georgia","2017","1.6","94"
"Georgia","2016","1.2","94"
"Georgia","2015","1.2","94"
"Georgia","2014","1.6","94"
"Georgia","2013","2.1","94"
"Georgia","2012","3","94"
"Georgia","2011","4.3","94"
"Georgia","2010","4.4","94"
"Georgia","2009","3.7","94"
"Georgia","2008","3.6","94"
"Georgia","2007","4.2","94"
"Georgia","2006","3.8","94"
"Georgia","2005","4","94"
"Georgia","2004","3.8","94"
"Georgia","2003","4","94"
"Georgia","2002","3.8","94"
"Georgia","2001","7.8","94"
"Georgia","2000","8.1","94"
"Georgia","1999","7.6","94"
"Georgia","1998","6.3","94"
"Georgia","1997","6.7","94"
"Georgia","1996","1.4","95"
"Germany","2019","0","96"
"Germany","2018","0","96"
"Germany","2017","0.2","96"
"Germany","2016","0","96"
"Germany","2015","0","96"
"Germany","2014","0","96"
"Germany","2013","0","96"
"Germany","2012","0","96"
"Germany","2011","0","96"
"Germany","2010","0","96"
"Germany","2009","0","96"
"Germany","2008","0","96"
"Germany","2007","0","96"
"Germany","2006","0","96"
"Germany","2005","0","96"
"Germany","2004","0","96"
"Germany","2003","0","96"
"Germany","2002","0","96"
"Germany","2001","0","96"
"Germany","2000","0","96"
"Germany","1999","0","96"
"Germany","1998","0","96"
"Germany","1997","0","96"
"Germany","1996","0","96"
"Germany","1995","0.2","96"
"Germany","1994","0.1","96"
"Germany","1993","0","96"
"Germany","1992","0","96"
"Germany","1991","0","96"
"Ghana","2016","9.3","97"
"Ghana","2012","8.3","98"
"Ghana","2005","16.1","99"
"Ghana","1998","21.9","100"
